Location,Price,Bedrooms,Bathrooms,Listing Name
St. John's,79900,0,0,"01 Lanse Au Loupe Road Grand Bank, Newfoundland & Labrador"
St. John's,55000,0,0,"11 Citadel Road Grand Bank, Newfoundland & Labrador"
St. John's,459900,0,0,"12 Huntingdale Drive ST.JOHNS, Newfoundland & Labrador"
St. John's,409900,4,3.0,"12 Quantum Drive Paradise, Newfoundland & Labrador"
St. John's,115000,3,2.0,"68 Main Road Green's Harbour, Newfoundland & Labrador"
St. John's,325000,5,3.0,"32 TAVERNER Place CLARENVILLE, Newfoundland & Labrador"
St. John's,899900,4,5.0,"94 Waterford Bridge Road St. John's, Newfoundland & Labrador"
St. John's,539750,3,3.0,"53 Frampton Avenue St. John's, Newfoundland & Labrador"
St. John's,409900,5,3.0,"10 Quantum Drive Paradise, Newfoundland & Labrador"
St. John's,269900,3,3.0,"29 Country Drive Torbay, Newfoundland & Labrador"
St. John's,249900,3,1.0,"57 St Clare Avenue St John's, Newfoundland & Labrador"
St. John's,119900,2,1.0,"4 Hardpath Road Riverhead-Harbour Grace, Newfoundland & Labrador"
St. John's,289900,4,2.0,"28 Cambridge Avenue St. John's, Newfoundland & Labrador"
St. John's,329900,4,2.0,"10 THOMAS Place CLARENVILLE, Newfoundland & Labrador"
St. John's,159900,3,2.0,"5 Main Street Burnt Point, Newfoundland & Labrador"
St. John's,945000,7,4.0,"100 Doran's Lane Outer Cove, Newfoundland & Labrador"
St. John's,399900,2,2.0,"1 Ocean View Drive Norman's Cove, Newfoundland & Labrador"
St. John's,379900,4,2.5,"ST JOHNS, Newfoundlandand. MULTI LEVEL UPDATED TURN KEY"
St. John's,225000,3,1.0,"125 Craigmillar Avenue St. John's, Newfoundland & Labrador"
St. John's,174900,3,2.0,"12 Haystack Avenue Arnold's Cove, Newfoundland & Labrador"
St. John's,399900,3,3.0,"153 Main Road Whitbourne, Newfoundland & Labrador"
St. John's,269900,4,2.0,"14 Adams Avenue St. John's, Newfoundland & Labrador"
St. John's,350000,0,0,"35 Wabush Place St. John's, Newfoundland & Labrador"
St. John's,319900,0,0,"10 Larsen Street Mount Pearl, Newfoundland & Labrador"
St. John's,738600,0,0,"31 Frampton Avenue St. John's, Newfoundland & Labrador"
St. Johns,295000,0,0,"31 Mayor Avenue St. Johns, Newfoundland & Labrador"
St. John's,245000,0,0,"9 Pearson Street St. John's, Newfoundland & Labrador"
St. John's,184000,0,0,"16 Hunt's Lane St. John's, Newfoundland & Labrador"
St. John's,89999,0,0,"15 Mount Pleasant Road Harbour Grace, Newfoundland & Labrador"
St. John's,329900,0,0,"27 Bookside Drive CLARENVILLE, Newfoundland & Labrador"
St. John's,369900,0,0,"4 Corte Real Place Mount Pearl, Newfoundland & Labrador"
St. John's,569900,0,0,"131 Groves Road St. John's, Newfoundland & Labrador"
St. John's,280000,0,0,"55 Commonwealth Avenue Mount Pearl, Newfoundland & Labrador"
St. John's,299900,0,0,"222 Conception Bay Highway Holyrood, Newfoundland & Labrador"
St. John's,439900,0,0,"463 Main Road St. Johns, Newfoundland & Labrador"
St. John's,339900,0,0,"31 William Street St. John's, Newfoundland & Labrador"
St. John's,694900,0,0,"30 Gallipoli Street St. John's, Newfoundland & Labrador"
St. John's,262000,0,0,"448 -450 Main Street Burin, Newfoundland & Labrador"
St. John's,274900,0,0,"22 Cormack Street St. John's, Newfoundland & Labrador"
St. John's,389900,0,0,"14 Thomston Avenue Conception Bay South, Newfoundland & Labrador"
St. John's,175900,0,0,"194-196 Conception Bay Highway Spaniards Bay, Newfoundland & Lab"
St. John's,329900,0,0,"7 Falkland Street St john's, Newfoundland & Labrador"
St. John's,384900,0,0,"97 Acharya Drive Paradise, Newfoundland & Labrador"
St. John's,359900,3,2.0,"102 COUNTRY PATH Drive Witless Bay, Newfoundland & Labrador"
St. John's,599900,3,3.0,"70 Lanark Drive Paradise, Newfoundland & Labrador"
St. John's,105000,2,1.0,"117A Old Track Road Cavendish, Newfoundland & Labrador"
St. John's,175000,3,1.0,"29 Scott Street St. John's, Newfoundland & Labrador"
St. John's,404900,4,4.0,"4 Covemans Lane Upper Island Cove, Newfoundland & Labrador"
St. John's,319900,3,4.0,"17 Woodpath Road Conception Bay South, Newfoundland & Labrador"
St. John's,190000,3,2.0,"26 Hussey Drive St. John's, Newfoundland & Labrador"
St. John's,239500,3,3.0,"6 Courtney Place Grand Bank, Newfoundland & Labrador"
St. John's,179900,7,2.0,"201-211 MAIN Street COME BY CHANCE, Newfoundland & Labrador"
St. John's,319900,4,3.0,"6 Ladywell Place Paradise, Newfoundland & Labrador"
St. John's,297500,3,2.0,"73 Golf Avenue St. John's, Newfoundland & Labrador"
St. John's,348900,3,2.0,"1051 Indian Meal Line Portugal Cove/St. Philips, Newfoundland &"
St. John's,279900,4,2.0,"27 Woodwynd Street St. John's, Newfoundland & Labrador"
St. John's,299000,3,2.0,"136 PATRICK Street ST. JOHN'S, Newfoundland & Labrador"
St. John's,624500,5,4.0,"12 Durango Drive Paradise, Newfoundland & Labrador"
St. John's,99900,2,1.0,"0 PENNEYS Lane SALMONIER, Newfoundland & Labrador"
St. John's,474900,3,3.0,"18 Sunset Way St. Philips, Newfoundland & Labrador"
St. John's,199500,3,3.0,"10 OLD CHURCH Road CLARENVILLE, Newfoundland & Labrador"
St. John's,274900,3,2.0,"7 Badcock Boulevard BAY ROBERTS, Newfoundland & Labrador"
St. John's,155000,0,0,"9 Rube Reids Road Dildo, Newfoundland & Labrador"
St. John's,49900,0,0,"399 Creston Boulevard Marystown, Newfoundland & Labrador"
St. John's,189900,0,0,"3 Connollys Hill Conception Bay North, Newfoundland & Labrador"
St. John's,257500,0,0,"6 Mccormick Place Torbay, Newfoundland & Labrador"
St. John's,319900,0,0,"150 Ladysmith Drive ST. JOHN'S, Newfoundland & Labrador"
St. John's,279900,0,0,"298 Blackmarsh Road St. John's, Newfoundland & Labrador"
St. John's,174900,0,0,"11 Hickman Place St. John's, Newfoundland & Labrador"
St. John's,244900,0,0,"32 Easons Road Conception Bay South, Newfoundland & Labrador"
St. John's,204900,0,0,"369 Paradise Road Paradise, Newfoundland & Labrador"
St. John's,149900,0,0,"7 Deerings Road Victoria, Newfoundland & Labrador"
St. John's,506000,0,0,"9 Papenburg Place Portugal Cove - St. Philips, Newfoundland & La"
St. John's,464000,0,0,"3 Papenburg Place Portugal Cove - St. Philips, Newfoundland & La"
St. John's,379900,0,0,PRIVATE SALE  COMPLETELY UPDATED-MODERN TURN KEY:  MULTI LEVEL
St. John's,149900,0,0,Some Views of the Bay in Scenic Hearts Delight!
St. John's,199900,0,0,Edge of Downtown-Parking-Big Lot!
St. John's,99999,0,0,"Pond View - 34 Rocky Pond Rd, Spaniards Bay - MLS# 1196760"
St. John's,239900,0,0,"90-92 Conception Bay Highway Georgetown, Newfoundland & Labrador"
St. John's,418000,0,0,"49 Victory Lane Mount Pearl, Newfoundland & Labrador"
St. John's,229900,0,0,"77 MIDDLE BIGHT Road CONCEPTION BAY SOUTH, Newfoundland & Labrad"
St. John's,255000,0,0,"10 Memorial Drive Marystown, Newfoundland & Labrador"
St. John's,250000,0,0,"21 Jane Heights Paradise, Newfoundland & Labrador"
St. John's,359900,3,3.0,"47 Great Southern Drive St. John's, Newfoundland & Labrador"
St. John's,255000,5,2.0,"5 McLoughlan Street St. John's, Newfoundland & Labrador"
St. John's,269900,4,3.0,"3 Cabot Street St. John's, Newfoundland & Labrador"
St. John's,209900,5,2.0,"6 Blackwood Place St. John's, Newfoundland & Labrador"
St. John's,249900,4,2.0,"249 Southside Road ST. JOHN'S, Newfoundland & Labrador"
St. John's,194900,4,2.0,"2 Mootrey Place St. John's, Newfoundland & Labrador"
St. John's,459900,3,4.0,"42 Howard Avenue Paradise, Newfoundland & Labrador"
St. John's,154900,4,2.0,"192 Pleasant Street St. John's, Newfoundland & Labrador"
St. John's,359900,2,2.0,"6 DINA Place PARADISE, Newfoundland & Labrador"
St. John's,599000,3,2.0,"387 A Westside Road Greens Harbour, Newfoundland & Labrador"
St. John's,249000,2,2.0,"1-3 RICHARD Road CLARENVILLE, Newfoundland & Labrador"
St. John's,94500,4,1.0,"14 Cable Avenue Bay Roberts, Newfoundland & Labrador"
St. John's,189900,3,1.0,"191 Doyle Street St. John's, Newfoundland & Labrador"
St. John's,229900,3,2.0,"61 Commonwealth Avenue Mt. Pearl, Newfoundland & Labrador"
St. John's,250000,3,2.0,"133 Canada Drive St. John's, Newfoundland & Labrador"
St. John's,140000,3,2.0,"14 Farrell Drive Mount Pearl, Newfoundland & Labrador"
St. John's,359900,2,2.0,"8 DINA Place PARADISE, Newfoundland & Labrador"
St. John's,379000,4,3.0,"333 Stavanger Drive St. John's, Newfoundland & Labrador"
St. John's,229000,3,2.0,"27 Hutchings Street St. John's, Newfoundland & Labrador"
St. John's,64900,0,0,"Downtown Handyman Special - 67 Lime Street, St. John's"
St. John's,149900,0,0,"11 Circular Road Carbonear, Newfoundland & Labrador"
St. John's,149900,0,0,"179 Highway East Highway Victoria, Newfoundland & Labrador"
St. John's,424900,0,0,"56 Monument Road Conception Bay South, Newfoundland & Labrador"
St. John's,369900,0,0,"29 Atlantic Street Marystown, Newfoundland & Labrador"
St. John's,199900,0,0,"111 Bay Bulls Road St. John's, Newfoundland & Labrador"
St. John's,299999,0,0,"1 FRESHWATER Road TRINity East, Newfoundland & Labrador"
St. John's,257700,0,0,"7 Suez Street St. John's, Newfoundland & Labrador"
St. John's,179900,0,0,"179 Main Road Lewin's Cove, Newfoundland & Labrador"
St. John's,275000,0,0,"32 MUNICIPAL Square CLARENVILLE, Newfoundland & Labrador"
St. John's,449000,0,0,"17 Sumac Street St.John's, Nl, Newfoundland & Labrador"
St. John's,169900,0,0,"107 Park Avenue Mount Pearl, Newfoundland & Labrador"
St. John's,599900,0,0,"1 Marie Place Portugal Cove/St.Philips, Newfoundland & Labrador"
St. John's,309900,0,0,"32 TRAILS END Drive PARADISE, Newfoundland & Labrador"
St. John's,499900,0,0,"542 Logy Bay Road Logy Bay, Newfoundland & Labrador"
St. John's,269900,0,0,"14 Hatcher Street St. John's, Newfoundland & Labrador"
St. John's,275000,0,0,"6 Sheppard Place Clarenville, Newfoundland & Labrador"
St. John's,179000,0,0,"26 Gregory Place Clarenville, Newfoundland & Labrador"
St. John's,739000,0,0,"12 Tolt Road Marystown, Newfoundland & Labrador"
St. John's,319000,0,0,"LOT 44 Placetia junction Road Placentia, Newfoundland & Labrador"
St. John's,170000,0,0,Cabin for sale!
St. John's,329000,3,2.5,Gem On The Burin Peninsula
St. John's,289900,4,2.0,Amazing waterview home with 4 beds in Clarenville
St. John's,369000,5,4.0,"34 Glenlonan Street St. John's, Newfoundland & Labrador"
St. John's,270000,4,3.0,"25 SILVERTON Street ST.JOHN'S, Newfoundland & Labrador"
St. John's,172000,3,1.0,"2 Beechnut Drive Paradise, Newfoundland & Labrador"
St. John's,99000,3,1.0,"2 Rattles Road Bellevue, Newfoundland & Labrador"
St. John's,429900,3,3.0,"9 Avalia Drive Flatrock, Newfoundland & Labrador"
St. John's,149900,2,2.0,"852 RANDOM ISLAND Road ELLIOTTS COVE, Newfoundland & Labrador"
St. John's,69900,3,1.0,"388 Harvey Street Harbour Grace, Newfoundland & Labrador"
St. John's,349900,3,2.0,"11 Gladney Street St. John's, Newfoundland & Labrador"
St. John's,147700,2,1.0,"140 Harvey Street Harbour Grace, Newfoundland & Labrador"
St. John's,324900,3,2.0,"60 Baffin Drive Mount Pearl, Newfoundland & Labrador"
St. John's,104500,2,1.0,"12 Leonard Place St. John's, Newfoundland & Labrador"
St. John's,79900,2,1.0,"80 Thornes Park Dunville, Newfoundland & Labrador"
St. John's,349900,3,1.0,"21 Barnes Road St. John's, Newfoundland & Labrador"
St. John's,269900,7,2.0,"7 Anglican Cemetery Road Portugal Cove-St. Philip's, Newfoundlan"
St. John's,249900,3,2.0,154 Southside Road
St. John's,124900,3,1.0,77 Back Road
St. John's,254900,7,2.0,"2 Thorburn. Road St.John's, Newfoundland & Labrador"
St. John's,265000,0,0,"92 Pleasant Street St. John's, Newfoundland & Labrador"
St. John's,379000,0,0,"1 Captain Franks Lane Carbonear, Newfoundland & Labrador"
St. John's,474900,0,0,"6 Donegal Place St. John's, Newfoundland & Labrador"
St. John's,119900,0,0,"231 Main Street Catalina, Newfoundland & Labrador"
St. John's,220000,0,0,"22 Ville Marie Drive Dunville, Newfoundland & Labrador"
St. John's,69900,0,0,"3 Bulter's Lane Grand Bank, Newfoundland & Labrador"
St. John's,140000,0,0,"17 Angel Place St. John's, Newfoundland & Labrador"
St. John's,419000,0,0,"8-9 RANDOM BROOK Road RANDOM ISLAND, Newfoundland & Labrador"
St. John's,279900,0,0,"84 Canada Drive St.John's, Newfoundland & Labrador"
St. John's,319000,0,0,"12 Malta Street St. John's, Newfoundland & Labrador"
St. John's,164900,0,0,"317 Main Street Blaketown, Newfoundland & Labrador"
St. John's,359900,0,0,"9 Plover Street St. John's, Newfoundland & Labrador"
St. John's,649000,0,0,"68 Vokey's Road Whitbourne, Newfoundland & Labrador"
St. John's,399900,0,0,"19 Goldeneye Place Mount Pearl, Newfoundland & Labrador"
St. John's,229000,0,0,"8 Mount Vincent Crescent Marystown, Newfoundland & Labrador"
St. John's,39900,0,0,Great Roomy Affordable Home
St. John's,119900,0,0,2-1/2 STORY HOME WITH OCEAN VIEW
St. John's,419000,0,0,Beautiful Ocean Front Property sitting on 1.67 acres of land
St. John's,69000,0,0,A WELL CARED FOR HOME IN THE HISTORIC TOWN OF BONAVISTA
St. John's,199500,0,0,"Unique Lovely Ocean View Home - *For Sale, Rent or Rent to Own*"
St. John's,129000,0,0,Lovely home with a great ocean view
St. John's,249000,2,2.0,Beautiful home with a view of the Cove/Harbor
St. John's,169000,3,1.5,A WELL CONSTRUCTED HOME ON A BEAUTIFUL LARGE MATURE LOT
St. John's,209900,2,1.0,For Sale Two Rental Properties
St. John's,459000,3,2.0,Beautiful Immaculately Home on 2.77 Acres of Land
St. John's,299000,3,2.5,LOOKING FOR OCEANFRONT PROPERTY IN THE CLARENVILLE AREA?
St. John's,115000,2,1.0,"06 MAIN Road, Lower Lance Cove"
St. John's,175000,2,1.0,LOVELY HOME WITH PARTIAL VIEW OF THE OCEAN
St. John's,185000,5,2.5,LOVELY SPLIT ENTRY HOME
St. John's,-1,3,1.0,"Trinity East - 1 Main Rd - 3 bedrooms, 1 bath waterview!"
St. John's,189000,2,1.0,"Four season 1,088 sf cottage sits on a 1.5 acre waterfront lot"
St. John's,169000,7,2.0,Come By Chance income opportunity! 2 apartment bungalow
St. John's,115900,4,2.0,"23 Westside Drive Terrenceville, Newfoundland & Labrador"
St. John's,170000,4,1.0,"128-134 Country Drive Torbay, Newfoundland & Labrador"
St. John's,329000,3,2.0,"9 Montana Drive Paradise, Newfoundland & Labrador"
St. John's,605596,3,3.0,"47-51 Hickory Place Conception Bay South, Newfoundland & Labrado"
St. John's,59900,2,1.0,"25 Pond Side Road Bristols Hope, Newfoundland & Labrador"
St. John's,379900,4,4.0,"175-177 Conception Bay Highway Spaniards Bay, Newfoundland & Lab"
St. John's,2900000,4,7,"48-58 Doran's Lane Middle Cove Logy Bay Outer Cove, Newfoundland"
St. John's,64500,2,1.0,"16 Ship Cove Crescent Burin, Newfoundland & Labrador"
St. John's,1100000,0,0,"7 Commodore Place Conception Bay South, Newfoundland & Labrador"
St. John's,124900,0,0,"189 Main Road O'Donnell's, Newfoundland & Labrador"
St. John's,229000,0,0,"0 Russells Crescent Blaketown, Newfoundland & Labrador"
St. John's,279900,0,0,"19 Old Cart Road Portugal Cove - St Philips, Newfoundland & Labr"
St. John's,289900,0,0,"5 Augustus Drive Burin Bay Arm, Newfoundland & Labrador"
St. John's,29900,0,0,"3 CONCEPTION  BAY Highway Perry's Cove, Newfoundland & Labrador"
St. John's,469000,0,0,"12 PARKSIDE Crescent CLARENVILLE, Newfoundland & Labrador"
St. John's,279900,0,0,"3 Pearson Street St. John's, Newfoundland & Labrador"
St. John's,85900,0,0,"28 Riverhead Road Western Bay, Newfoundland & Labrador"
St. John's,169900,0,0,"44 Prince Street Clarenville, Newfoundland & Labrador"
St. John's,169000,0,0,"11 Pearson Place Grand Bank, Newfoundland & Labrador"
St. John's,299900,0,0,"40 Main Road Bay Roberts, Newfoundland & Labrador"
St. John's,129900,0,0,62-64 Mint Cove Pond Road
St. John's,329000,0,0,"283 Main Road Mount Carmel, Newfoundland & Labrador"
St. John's,329000,0,0,"283 Main Road Mount Carmel, Newfoundland & Labrador"
St. John's,159900,0,0,"81 Conception Bay Highway Colliers, Newfoundland & Labrador"
St. John's,289900,0,0,"47 Harbour View Avenue Arnolds Cove, Newfoundland & Labrador"
St. John's,95000,0,0,"52 New Settlement Hill Freshwater, Newfoundland & Labrador"
St. John's,299000,0,0,"1-3 Churchill Avenue Placentia, Newfoundland & Labrador"
St. John's,67900,0,0,"34 Blackburn Road Grand Bank, Newfoundland & Labrador"
St. John's,529750,0,0,"51 Frampton Avenue St. John's, Newfoundland & Labrador"
St. John's,329900,3,2.0,"10 Marions Garden Place Conception Bay South, Newfoundland & Lab"
St. John's,359900,3,3.0,"4 SUNSET Drive CLARENVILLE, Newfoundland & Labrador"
St. John's,309900,3,2.0,"18 Marions Garden Place Conception Bay South, Newfoundland & Lab"
St. John's,479900,3,3.0,"9 Ballylee Crescent St. John's, Newfoundland & Labrador"
St. John's,218000,4,2.0,"83 Goodridge Street St. John's, Newfoundland & Labrador"
St. John's,349900,2,2.0,"741 Indian Meal Line Portugal Cove, Newfoundland & Labrador"
St. John's,409500,3,3.0,"58 Cameron Place Pouch Cove, Newfoundland & Labrador"
St. John's,945000,7,4.0,"Outer Cove Executive home with ocean view, open concept on 3 acs"
St. John's,899900,4,5.0,"Prestigious Area, Beautiful Landscaping, ALL THE EXTRAS!!!"
St. John's,699900,3,2.5,Move in ready executive home with trail access!
St. John's,689000,5,3.0,Amazing Home in Harbour Main! You have got to see this one!!
St. John's,547900,7,3.5,"Immaculate 6 bdrm, 3.5 bath with lots of upgraded features"
St. John's,474900,3,2.5,Beautiful 2 storey home with 3 bdrm & 2.5 baths
St. John's,349900,4,4.0,"3 Bedrooms with 1 bedroom apartment, close to University"
St. John's,329900,4,1.5,MOTIVATED SELLER!!! Willing to work with a buyers agent!
St. John's,299900,7,3.0,"POTENTIAL! Residential/Commercial building, 8 bdrm/3 bath"
St. John's,259900,3,1.0,Spotless and move in ready!! Even some room to grow!
St. John's,169000,3,1.0,Combining charm with modern custom design on over .5 acre
St. John's,155000,4,2.0,"Fantastic 4 bedroom, 2 bath home close to walking trails!"
St. John's,179000,0,0,"For Sale by owner 5 bedroom house, with 2 bedroom apartment"
St. John's,99900,0,0,"Century Old Home! 399 Water St, Bay Roberts - MLS# 1237069"
St. John's,899900,0,0,Pond Front Luxury! 50 Jack Pine Pl - Spaniards Bay -MLS# 1192764
St. John's,299900,0,0,"OCEAN VIEW! 2 Southside Estates, Bay Roberts - MLS 1236981"
St. John's,309900,0,0,Great Bungalow with In-Law Suite in Great Location
St. John's,209900,0,0,Charming Property in a Great Location
St. John's,249000,0,0,Cottage For Sale by owner
St. John's,329900,0,0,"119 Freshwater Road St. John's, Newfoundland & Labrador"
St. John's,1090000,0,0,"54 Vineyard Drive Paradise, Newfoundland & Labrador"
St. John's,265000,0,0,"10 Gower Street St. John's, Newfoundland & Labrador"
St. John's,169000,0,0,"162 Main Street Burin Bay Arm, Newfoundland & Labrador"
St. John's,269900,0,0,"18 Marshall Place St. John's, Newfoundland & Labrador"
St. John's,358000,0,0,"51 PETITE FORTE Drive St. John's, Newfoundland & Labrador"
St. John's,124900,0,0,"77 BACK Road UPPER ISLAND COVE, Newfoundland & Labrador"
St. John's,265000,0,0,"85 Springdale Street St. John's, Newfoundland & Labrador"
St. John's,249900,0,0,"Lot 12 Ridgewood Crescent Clarenville, Newfoundland & Labrador"
St. John's,769900,0,0,"184 Summit Drive Paradise, Newfoundland & Labrador"
St. John's,289900,0,0,"28 Mount Cashel Road St. Johns, Newfoundland & Labrador"
St. John's,189900,0,0,"49 Campbell Avenue St. John's, Newfoundland & Labrador"
St. John's,289900,0,0,"47 Harbour View Avenue Arnolds Cove, Newfoundland & Labrador"
St. John's,109900,0,0,"78 Main Road North Harbour, Newfoundland & Labrador"
St. John's,1660000,7,7,"18 CIRCULAR Road ST. JOHN'S, Newfoundland & Labrador"
St. John's,600000,3,2.0,"26 Lakeview Drive Whitbourne, Newfoundland & Labrador"
St. John's,210000,4,2.0,"92-94 Marine Drive Marystown, Newfoundland & Labrador"
St. John's,361000,3,2.0,"37 Markham Street Portugal Cove - St. Philips, Newfoundland & La"
St. John's,364900,3,2.0,"29 Teakwood Drive St. John's, Newfoundland & Labrador"
St. John's,245000,4,2.0,"105 Portugal Cove Road St. John's, Newfoundland & Labrador"
St. John's,429000,5,3.0,"1634 Topsail Road Paradise, Newfoundland & Labrador"
St. John's,349900,4,3.0,"32-34 Butts Road Spaniards Bay, Newfoundland & Labrador"
St. John's,259500,3,2.0,"21 O'Keefe's Lane Pouch Cove, Newfoundland & Labrador"
St. John's,149000,3,1.0,PRIVATE OCEANFRONT PROPERTY
St. John's,75000,2,1.0,"339 Main Road Come By Chance, Newfoundland & Labrador"
St. John's,139000,3,2.0,"20 Downing Street Harbour Grace, Newfoundland & Labrador"
St. John's,120000,5,2.0,"42 Warbury Street St. John's, Newfoundland & Labrador"
St. John's,319000,3,3.0,"5 CORAL Heights CARBONEAR, Newfoundland & Labrador"
St. John's,105000,2,1.0,"Homes for Sale in Cavendish, Newfoundland and Labrador $105,000"
St. John's,349900,3,2.0,"Lot 9 Darryl Pye Drive Torbay, Newfoundland & Labrador"
St. John's,699900,3,3.0,"Lot 2 Mary's Place Outer Cove, Newfoundland & Labrador"
St. John's,349900,3,2.0,"Lot 10 Darryl Pye Drive Torbay, Newfoundland & Labrador"
St. John's,69000,2,2.0,"250 Harvey Street Harbour Grace, Newfoundland & Labrador"
St. John's,350000,0,0,"42 Country Path Holyrood, Newfoundland & Labrador"
St. John's,84900,0,0,217 Main Street
St. John's,293000,0,0,"152-154 Eldon Street Fortune, Newfoundland & Labrador"
St. John's,60000,0,0,"13 Merasheen Crescent Arnold's Cove, Newfoundland & Labrador"
St. John's,465000,0,0,"61 Cochrane Street St. John's, Newfoundland & Labrador"
St. John's,259900,0,0,"28 Larsen Street Mount Pearl, Newfoundland & Labrador"
St. John's,259900,0,0,"26 Larsen Street Mount Pearl, Newfoundland & Labrador"
St. John's,329900,0,0,"491 Water Street Bay Roberts, Newfoundland & Labrador"
St. John's,94500,0,0,"179-181 Main Road Unit#Main Norman's Cove-Long Cove, Newfoundlan"
St. John's,219900,0,0,"Lot 45 Lori Ann Place Clarenville, Newfoundland & Labrador"
St. John's,349900,0,0,"31 Finlaystone Drive Mount Pearl, Newfoundland & Labrador"
St. John's,174900,0,0,"197 Doyle Street St. John's, Newfoundland & Labrador"
St. John's,549000,0,0,"34 Musgrave Street St. John's, Newfoundland & Labrador"
St. John's,775000,0,0,"7 Waterford Bridge Road St. John's, Newfoundland & Labrador"
St. John's,950000,0,0,"7 Waterford Bridge Road St. John's, Newfoundland & Labrador"
St. John's,89900,0,0,"4 Little Muddy Hole Road Frenchman's Cove, Newfoundland & Labrad"
St. John's,229500,0,0,"19 Robinsons Place St. John's, Newfoundland & Labrador"
St. John's,295000,0,0,"19 Pleasantville Avenue St. John's, Newfoundland & Labrador"
St. John's,99900,0,0,"14 Musgrave Street Carbonear, Newfoundland & Labrador"
St. John's,319900,0,0,"40 Squires Avenue Conception Bay South, Newfoundland & Labrador"
St. John's,529900,0,0,"149 Castle Bridge Drive St. Johns, Newfoundland & Labrador"
St. John's,129900,2,1.0,"8 Roaches Line Roaches Line, Newfoundland & Labrador"
St. John's,204900,3,2.0,"72 Southside Road Harbour Grace, Newfoundland & Labrador"
St. John's,379999,4,4.0,"54 Ville Marie Drive Marystown, Newfoundland & Labrador"
St. John's,249900,5,2.0,"81 Forest Road Carbonear, Newfoundland & Labrador"
St. John's,275000,3,1.0,"615-621 Old Broad Cove Road Portugal Cove-St. Philips, Newfoundl"
St. John's,344900,3,3.0,"49 Guzzwell Drive St. john's, Newfoundland & Labrador"
St. John's,90000,2,2.0,"43 Sunny Hill Ferryland, Newfoundland & Labrador"
St. John's,179000,2,1.0,"0 Flat Rock Road Flat Rock, Newfoundland & Labrador"
St. John's,174900,3,1.0,"44 Mooney Crescent St. John's, Newfoundland & Labrador"
