Model,Storage,Price,Description,Link
IPhone , ,$300.00,I have an iPhone 6 in great shape no cracks with protective case and 10 foot charging cable 300 or best offer,https://kijiji.ca/v-cell-phone/cape-breton/iphone-6/1573643845
Iphone cs, ,$600.00,Perfect condition iPhone XS Max. Its just the glass guard which needs to be changed. No scratches or cracks in screen . $600 or best offer. Upgraded my phone so no longer need this one.,https://kijiji.ca/v-cell-phone/cape-breton/iphone-cs-maxx/1573567659
iPhone s, ,$175.00,Selling a used iPhone sE for 175 . Small crack across screen. Works fine . Easy fix,https://kijiji.ca/v-cell-phone/cape-breton/iphone-se/1573463789
iPhone 12, ,Please Contact,Looking for iPhone 12 unlocked. Would prefer mini especially or regular. Let me know price looking for 800ish mark,https://kijiji.ca/v-cell-phone/cape-breton/looking-for:-iphone-12-unlocked/1573322293
Iphone 11,256gb,"$1,000.00",Unlocked Iphone 11 PRO 256 GB Phone will come removed from icloud and factory reset. Also comes with a survivor case and screen protector. Works perfectly and is only 6 months old. Has No cosmetic ...,https://kijiji.ca/v-cell-phone/cape-breton/iphone-11-pro-256-gb/1572579851
iPhone S, ,$250.00,Black iPhone SE for sale bought in April still in perfect condition. Msg or text if interested 902-549-2345 250$ OBO,https://kijiji.ca/v-cell-phone/cape-breton/black-iphone-se/1572442727
iPhone , ,$320.00,"I’m selling my iPhone 8 only because I got a new phone and have no need for this one. The phone has a few scratches on front and back no cracks. Works just fine, charges just fine, all the phone is ...",https://kijiji.ca/v-cell-phone/cape-breton/iphone-8/1572152312
iPhone x, ,$560.00,"iPhone X-in great condition, no scratches or cracks. Battery health great.",https://kijiji.ca/v-cell-phone/cape-breton/iphone-x-64-gb/1571519534
"iPhone 10XR,", ,$430.00,"iPhone 10XR, Excellent Condition Comes with a transparent hard shell and Otter Box- $430 Call",https://kijiji.ca/v-cell-phone/cape-breton/iphone-10xr-excellent-condition-430/1570412712
iPhone 1, ,"$1,100.00",iPhone 12 perfect condition Hardly used for a week. Only selling cause gifted with 12 pro,https://kijiji.ca/v-cell-phone/cape-breton/iphone-12/1569611818
IPHONE REPAI, ,$60.00,"OOPS! Did you smash your iPhone??? We realize prices are quite high in the Cape Breton area to have your phone screen fixed, that's why you should come to us! (Taxes included in the prices shown ...",https://kijiji.ca/v-cell-phone/cape-breton/on-the-spot-iphone-repair/1569612115
iPhone 12,128gb,"$1,459.99
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NDVYMzQx/z/o7cAAOSwal5YHMhQ/$_69.JPG"">","Available online or pick up in store! Brand New Apple iPhone 12 Pro Max 128GB Unlocked (A2342) - 5G - $1,459.99 Brand New Apple iPhone 12 Pro Max 256GB Unlocked (A2342) - 5G - $1,599.99 6.7-inch Super Retina XDR display* Ceramic Shield, tougher than any smartphone glass A14 Bionic chip, the fastest chip ever in",https://kijiji.ca/v-cell-phone/canada/brand-new-apple-iphone-12-pro-max-128gb-256gb-unlocked-a2342-5g/cas_15663148
IPHONE 5, ,$100.00,In excellent condition and unlocked. OBO,https://kijiji.ca/v-cell-phone/cape-breton/iphone-5-sold/1569611041
IPHONE 8PLU, ,$250.00,Would like an iPhone 8plus for a reasonable price. I can’t pay much like $250 would be the highest I could go but hoping not much is wrong with it and it’s unlocked,https://kijiji.ca/v-cell-phone/cape-breton/iphone-8plus/1569425277
iphone 1, ,$700.00,iPhone 11 only a month and a half old it's red there has been an Auto box on it since day one nothing wrong with phone I just don't like it will trade for Samsung S 20 or 700.00 Dwayne 902 574 0275,https://kijiji.ca/v-cell-phone/cape-breton/iphone-11/1568815383
IPhone X, ,$400.00,This IPhone X is only 2 years old and works like new. The only thing wrong with the phone is that little crack in the screen but it isn’t bothersome to me atleast and should be an easy fix if you ...,https://kijiji.ca/v-cell-phone/cape-breton/iphone-x-64gb/1568192362
iPhone 12, ,"$825.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-12-mini-64-gb-blue-unlocked-no-more-meetups-with-unreliable-strangers/cas_16029421
iPhone SE, ,"$129.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Telus/Koodo.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor,https://kijiji.ca/v-cell-phone/canada/iphone-se-2016-16-gb-rose-gold-telus-let-our-customer-service-amaze-you/cas_16058099
iPhone 11, ,"$1,109.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-max-64-gb-space-grey-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_15299707
iPhone 11, ,"$725.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-11-64-gb-red-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_15180405
iPhone SE, ,"$419.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-se-64-gb-red-unlocked-no-more-meetups-with-unreliable-strangers/cas_14500029
iPhone SE, ,"$499.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-se-256-gb-black-unlocked-our-phones-come-to-you-:/cas_14337547
iPhone 6, ,"$239.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-6-plus-16-gb-space-grey-unlocked-no-more-meetups-with-unreliable-strangers/cas_14263198
iPhone SE, ,"$469.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-se-64-gb-red-unlocked-our-phones-come-to-you-:/cas_14094003
iPhone SE, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-se-128-gb-white-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_13723457
iPhone SE, ,"$509.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-se-128-gb-red-unlocked-no-more-meetups-with-unreliable-strangers/cas_13722692
iPhone 11, ,"$1,109.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-max-64-gb-green-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_13054563
iPhone 11, ,"$1,159.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-max-256-gb-green-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_13054501
iPhone 11, ,"$1,059.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-64-gb-green-unlocked-let-our-customer-service-amaze-you/cas_13054369
iPhone 11, ,"$1,059.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-64-gb-gold-unlocked-let-our-customer-service-amaze-you/cas_13054325
iPhone 11, ,"$1,049.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-11-pro-max-64-gb-space-grey-unlocked-our-phones-come-to-you-:/cas_13054135
iPhone XR, ,"$559.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-coral-unlocked-our-phones-come-to-you-:/cas_12188985
iPhone 8, ,"$449.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-gold-unlocked-no-more-meetups-with-unreliable-strangers/cas_11818093
iPhone 7, ,"$179.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is locked and can only be used with Rogers/Chatr.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear,https://kijiji.ca/v-cell-phone/canada/iphone-7-32-gb-black-rogers-our-phones-come-to-you-:/cas_11741849
iPhone 8, ,"$399.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-gold-unlocked-let-our-customer-service-amaze-you/cas_11730767
iPhone 5, ,"$99.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-5-32-gb-black-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_11730635
iPhone 8, ,"$299.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-64-gb-red-unlocked-our-phones-come-to-you-:/cas_11717999
iPhone XR, ,"$609.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-black-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_11620938
iPhone XS, ,"$689.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-xs-max-64-gb-gold-unlocked-our-phones-come-to-you-:/cas_10669198
iPhone 8, ,"$355.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-8-plus-64-gb-silver-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10655498
iPhone 8, ,"$359.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows some wear and,https://kijiji.ca/v-cell-phone/canada/iphone-8-256-gb-space-grey-unlocked-our-phones-come-to-you-:/cas_10425802
iPhone 5, ,"$155.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier except Freedom.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows,https://kijiji.ca/v-cell-phone/canada/iphone-5-64-gb-white-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10425405
iPhone XS, ,"$749.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-xs-max-256-gb-space-grey-unlocked-let-our-customer-service-amaze-you/cas_10414965
iPhone 8, ,"$389.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows very minor signs,https://kijiji.ca/v-cell-phone/canada/iphone-8-plus-64-gb-silver-unlocked-let-our-customer-service-amaze-you/cas_10409455
iPhone XR, ,"$609.00
    


                                
                                
                                
                            
                            

                            
                                
                                    <div class=""dealer-logo"">
                                        <div class=""dealer-logo-image"">
                                            <img alt="""" src=""https://i.ebayimg.com/00/s/NjBYMTIw/z/VNwAAOSwwpdW4KO4/$_69.JPG"">",**New in stock! This handset is unlocked and can be used with any carrier.** We guarantee that it will work just like new and back that with a 90 day no-questions-asked returns policy (and free return shipping) not to mention a lifetime blacklist guarantee! Condition: its external appearance shows almost zero,https://kijiji.ca/v-cell-phone/canada/iphone-xr-128-gb-red-unlocked-buy-from-a-trusted-source-with-5-star-customer-service/cas_10287275
